date,listings_count
2020-01-02T00:00:00.000+01:00,1
2020-01-08T00:00:00.000+01:00,9
2020-01-13T00:00:00.000+01:00,10
2020-01-23T00:00:00.000+01:00,50
2020-01-24T00:00:00.000+01:00,2
2020-01-28T00:00:00.000+01:00,11
2020-01-30T00:00:00.000+01:00,8
2020-02-07T00:00:00.000+01:00,1
2020-02-16T00:00:00.000+01:00,36
2020-02-21T00:00:00.000+01:00,4
2020-03-02T00:00:00.000+01:00,4
2020-03-16T00:00:00.000+01:00,1
2020-03-28T00:00:00.000+01:00,1
2020-04-16T00:00:00.000+02:00,5
2020-04-29T00:00:00.000+02:00,1
2020-05-06T00:00:00.000+02:00,4
2020-05-17T00:00:00.000+02:00,3
2020-05-27T00:00:00.000+02:00,2
2020-05-29T00:00:00.000+02:00,1
2020-05-31T00:00:00.000+02:00,13
2020-06-01T00:00:00.000+02:00,6
2020-06-02T00:00:00.000+02:00,12
2020-06-03T00:00:00.000+02:00,4
2020-06-04T00:00:00.000+02:00,26
2020-06-06T00:00:00.000+02:00,3
2020-06-22T00:00:00.000+02:00,11
2020-07-19T00:00:00.000+02:00,4
2020-07-20T00:00:00.000+02:00,2
2020-07-26T00:00:00.000+02:00,8
2020-07-27T00:00:00.000+02:00,14
2020-07-29T00:00:00.000+02:00,4
2020-08-01T00:00:00.000+02:00,4
2020-08-02T00:00:00.000+02:00,17
2020-08-03T00:00:00.000+02:00,22
2020-08-05T00:00:00.000+02:00,2
2020-08-06T00:00:00.000+02:00,39
2020-08-09T00:00:00.000+02:00,17
2020-08-12T00:00:00.000+02:00,23
2020-08-15T00:00:00.000+02:00,4
2020-08-21T00:00:00.000+02:00,7
2020-08-30T00:00:00.000+02:00,1
2020-09-04T00:00:00.000+02:00,24
2020-09-07T00:00:00.000+02:00,7
2020-09-12T00:00:00.000+02:00,25
2020-09-14T00:00:00.000+02:00,9
2020-09-20T00:00:00.000+02:00,1
2020-09-28T00:00:00.000+02:00,3
2020-10-06T00:00:00.000+02:00,10
2020-10-07T00:00:00.000+02:00,9
2020-10-14T00:00:00.000+02:00,20
2020-10-15T00:00:00.000+02:00,1
2020-10-24T00:00:00.000+02:00,5
2020-10-25T00:00:00.000+02:00,3
2020-10-27T00:00:00.000+01:00,6
2020-10-31T00:00:00.000+01:00,28
2020-11-01T00:00:00.000+01:00,25
2020-11-06T00:00:00.000+01:00,4
2020-11-07T00:00:00.000+01:00,2
2020-11-15T00:00:00.000+01:00,4
2020-11-17T00:00:00.000+01:00,11
2020-11-19T00:00:00.000+01:00,24
2020-11-25T00:00:00.000+01:00,4
2020-12-03T00:00:00.000+01:00,4
2020-12-04T00:00:00.000+01:00,26
2020-12-07T00:00:00.000+01:00,2136
2020-12-09T00:00:00.000+01:00,36
2020-12-10T00:00:00.000+01:00,16
2020-12-11T00:00:00.000+01:00,15
2020-12-12T00:00:00.000+01:00,50
2020-12-14T00:00:00.000+01:00,14
2021-01-07T00:00:00.000+01:00,3
2021-01-13T00:00:00.000+01:00,2
2021-01-20T00:00:00.000+01:00,179
2021-01-25T00:00:00.000+01:00,31
2021-02-04T00:00:00.000+01:00,50
2021-02-12T00:00:00.000+01:00,189
2021-02-15T00:00:00.000+01:00,50
2021-02-19T00:00:00.000+01:00,20
2021-02-22T00:00:00.000+01:00,50
2021-02-24T00:00:00.000+01:00,7
2021-02-25T00:00:00.000+01:00,50
2021-03-09T00:00:00.000+01:00,512
