neighborhood,mean_price,rfd
La Prosperitat,167150.0,56.0
El Baix Guinardó,315222.22222222225,92.0
El Congrés i els Indians,320000.0,75.1
Sant Genís dels Agudells,312172.4137931034,84.1
La Nova Esquerra de l'Eixample,460978.6543624161,110.2
L'Antiga Esquerra de l'Eixample,721365.4186046511,137.2
Les Roquetes,181333.33333333334,49.7
La Trinitat Nova,159000.0,48.2
"\"Horta, Barcelona\"",298178.5714285714,79.8
La Teixonera,233146.15384615384,73.7
Vila de Gràcia,600354.8387096775,104.4
La Maternitat i Sant Ramon,396061.4130434783,114.2
Camp d'en Grassot i Gràcia Nova,517892.85714285716,105.7
el Coll,265000.0,87.0
Sants-Badal,258274.64159292035,81.0
Hostafrancs,287504.0,99.0
Les Tres Torres,1330750.0,215.8
"\"El Poble-sec, Barcelona\"",282999.66333333333,82.2
Sant Gervasi – la Bonanova,1855065.4205607476,184.6
Can Baró,426625.0,83.3
Verdun,157250.0,51.3
Vallcarca i els Penitents,488086.95652173914,112.5
La Font de la Guatlla,412321.73913043475,82.9
Sagrada Família,399000.0,101.8
Sant Andreu de Palomar,368950.0,77.7
Canyelles,198000.0,52.2
La Marina del Prat Vermell,329278.5714285714,40.0
La Salut,426650.0,109.9
El Raval,354554.8359375,71.2
El Camp de l'Arpa del Clot,320000.0,81.7
Pedralbes,2178923.076923077,248.8
Fort Pienc,420000.0,106.5
Sant Gervasi – Galvany,1040701.2195121951,192.1
Sants,319267.0520231214,99.0
Vilapicina i la Torre Llobeta,298000.0,63.8
El Carmel,210209.0909090909,54.2
Can Peguera,243333.33333333334,51.5
Ciutat Meridiana,117250.0,38.6
El Guinardó,307100.0,79.1
Dreta de l'Eixample,1117632.9545454546,175.9
Les Corts,502455.7042253521,120.0
La Bordeta,267238.4776119403,79.0
Porta,180650.0,64.4
Sarrià,1837871.7948717948,193.6
El Putxet i el Farró,618150.9433962264,144.6
Sant Antoni,441713.7055837563,104.2
Navas,309000.0,81.6
Gothic Quarter,658650.4566210046,106.1
La Marina de Port,239793.5064935065,69.3
La Font d'en Fargues,333000.0,92.5
Vall d'Hebron,268333.3333333333,95.8
Trinitat Vella,134750.0,47.1
