neighborhood,inhabitants_family,rfd
La Barceloneta Barcelona,2.16,79.6
Fort Pienc,2.60,106.5
Sagrada Família,2.38,101.8
L'Antiga Esquerra de l'Eixample,2.38,137.2
Hostafrancs,2.42,99.0
Sants-Badal,2.48,81.0
Sarrià,2.85,193.6
El Putxet i el Farró,2.45,144.6
El Baix Guinardó,2.40,92.0
Montbau,2.44,79.8
Vall d'Hebron,2.48,95.8
Canyelles,2.45,52.2
Verdun,2.49,51.3
Torre Baró,3.01,46.5
Bon Pastor,3.04,65.1
Navas,2.47,81.6
El Camp de l'Arpa del Clot,2.38,81.7
El Poblenou,2.50,99.9
Dreta de l'Eixample,2.39,175.9
Sant Gervasi – la Bonanova,2.77,184.6
Vila de Gràcia,2.23,104.4
El Guinardó,2.41,79.1
La Font d'en Fargues,2.53,92.5
El Congrés i els Indians,2.46,75.1
El Clot,2.51,83.6
La Marina del Prat Vermell,2.49,40.0
La Marina de Port,2.61,69.3
La Maternitat i Sant Ramon,2.47,114.2
Sant Gervasi – Galvany,2.55,192.1
La Prosperitat,2.49,56.0
La Trinitat Nova,2.61,48.2
La Vila Olímpica del Poblenou,2.65,164.2
La Nova Esquerra de l'Eixample,2.37,110.2
Sant Antoni,2.39,104.2
La Bordeta,2.48,79.0
Sants,2.54,99.0
El Turó de la Peira,2.56,51.9
Les Roquetes,2.72,49.7
Baró de Viver,2.64,68.9
Sant Andreu de Palomar,2.44,77.7
Sant Martí de Provençals,2.46,67.4
Les Corts,2.44,120.0
Les Tres Torres,2.97,215.8
Vallcarca i els Penitents,2.45,112.5
Sant Genís dels Agudells,2.52,84.1
Horta Barcelona,2.65,79.8
Vilapicina i la Torre Llobeta,2.47,63.8
Can Peguera,2.40,51.5
La Guineueta,2.47,53.8
Vallbona,2.91,40.9
La Font de la Guatlla,2.43,82.9
La Clota,2.50,93.5
Camp d'en Grassot i Gràcia Nova,2.36,105.7
El Carmel,2.51,54.2
La Teixonera,2.44,73.7
La Verneda i la Pau,2.51,57.0
El Raval,2.78,71.2
Gothic Quarter,3.28,106.1
El Poble-sec Barcelona,2.52,82.2
Pedralbes,2.84,248.8
el Coll,2.41,87.0
La Salut,2.46,109.9
Can Baró,2.39,83.3
Porta,2.70,64.4
Ciutat Meridiana,2.96,38.6
Trinitat Vella,2.94,47.1
La Sagrera,2.49,77.1
El Parc i la Llacuna del Poblenou,2.47,100.4
Diagonal Mar i el Front Marítim del Poblenou,2.52,150.1
El Besòs i el Maresme,3.05,60.4
Provençals del Poblenou,2.56,102.3
